Particular,Product Code,Definition,Category (clean),Sub-Category (clean)
Foam FF 35CMS 72X35X10MM  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam FF 35CMS 72X35X50MM  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam FF 35CMS 72X35X75MM  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam BRUSSELS BOLSTER  Color:white  Density:,,Foam,Raw Material,Product Utilities
Foam LOUNGE CHAIRS 23  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam LOUNGE CHAIRS 26  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam LOUNGE CHAIRS 26 SEAT  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam LOUNGE CHAIRS 3  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam Valle EPE Moulding Strips  Color:White  Density: NA (m),,Foam,Raw Material,Product Utilities
Foam 72x48x50mm (DLX Splash 30 SSF-HD   Color-White  Non FR) ( OLD PRODUCT)  Color:  Density: 30,,Foam,Raw Material,Product Utilities
Foam 72x48x25 white  Color:white  Density:,,Foam,Raw Material,Product Utilities
Foam ULR PUF 72X36X75MM  Color:BLUE  Density: 29D,,Foam,Raw Material,Product Utilities
Foam ULR PUF 72X36X100MM  Color:BLUE  Density: 29D,,Foam,Raw Material,Product Utilities
Foam ULR ULTRA RESINC PFS 72X26X25MM  Color:WHITE  Density: 35D,,Foam,Raw Material,Product Utilities
Foam UL RESILIE PUF 72X36X25MM  Color:DARK BLUE  Density: 040D,,Foam,Raw Material,Product Utilities
Foam ULR PUF 72X36X75MM  Color:DARK BLUE  Density: 40D,,Foam,Raw Material,Product Utilities
Foam ULR RESILIE PUF 72X36X100MM  Color:DARK BLUE  Density: 40D,,Foam,Raw Material,Product Utilities
Foam ULP PREMIUM PUF 72X36X25MM  Color:BROWN  Density: 32D,,Foam,Raw Material,Product Utilities
Foam ULP PREMIUM PUF 72X36X50MM  Color:BROWN  Density: 32D,,Foam,Raw Material,Product Utilities
Foam ULP PREMIUM PUF 72X36X75MM  Color:BROWN  Density: 32D,,Foam,Raw Material,Product Utilities
Foam ULP ULTRA PREMIUM PFS 72X36X100MM  Color:BROWN  Density: 32D,,Foam,Raw Material,Product Utilities
Foam SPR SEMI PREMIUM PFS 72X36X25MM  Color:YELLOW  Density: 32D,,Foam,Raw Material,Product Utilities
Foam SPR SEMI PREMIUM PFS 72X36X50MM  Color:YELLOW  Density: 32D,,Foam,Raw Material,Product Utilities
Foam SEMIPREMIUM PUF 72X36X75MM  Color:YELLOW  Density: 32D,,Foam,Raw Material,Product Utilities
Foam SPR SEMI PREMIUM PFS 72X36X100MM  Color:YELLOW  Density: 32D,,Foam,Raw Material,Product Utilities
Foam ULR ULTRA RESILIENCE PFS 72X36X100MM  Color:WHITE  Density: 35D,,Foam,Raw Material,Product Utilities
Foam 55x38x25mm  Color:pink  Density: 32,,Foam,Raw Material,Product Utilities
Foam 55x37x40mm  Color:Pink  Density: 32,,Foam,Raw Material,Product Utilities
Foam 55x38x50mm  Color:Pink  Density: 32,,Foam,Raw Material,Product Utilities
Foam Foam 72x48x40mm (DLX Splash 32   Color-Yellow  Non FR)  Color:  Density: 32  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam 72’’ x 35’’ x 20mm P U Sheet T S  Color:  Density: 40,,Foam,Raw Material,Product Utilities
Foam 72X48X10MM SUPER SOFT  Color:WHITE  Density: 32,,Foam,Raw Material,Product Utilities
Foam ULX PUF 72X36X25MM  Color:ORANGE  Density: 29D,,Foam,Raw Material,Product Utilities
Foam ULX PUF 72X36X75MM  Color:ORANGE  Density: 29D,,Foam,Raw Material,Product Utilities
Foam ULX PUF72X36X100MM  Color:ORANGE  Density: 29D,,Foam,Raw Material,Product Utilities
Foam ULX PUF 72X36X25MM  Color:LIGHT GREEN  Density: 33D,,Foam,Raw Material,Product Utilities
Foam ULX PUF 72X36X75MM  Color:LIGHT GREEN  Density: 33D,,Foam,Raw Material,Product Utilities
Foam ULX PUF 72X36X100MM  Color:LIGHT GREEN  Density: 33D,,Foam,Raw Material,Product Utilities
Foam ULR PUF 72X36X25MM  Color:BLUE  Density: 29D,,Foam,Raw Material,Product Utilities
Foam 72x36x75mm agarwal  Color:white  Density:,,Foam,Raw Material,Product Utilities
Foam KEY HOLE CHAIR ARMREST  Color:WHITE  Density:,,Foam,Raw Material,Product Utilities
Foam 48X38X10MM  Color:PINK AGARWAL  Density:,,Foam,Raw Material,Product Utilities
Foam HR - 72X36X50MM  Color:pick  Density: 40,,Foam,Raw Material,Product Utilities
"Foam Platinum 32D 72""""x48""""x50mm (Agarwal)  Color:yellow  Density: 32",,Foam,Raw Material,Product Utilities
Foam 55x37x25mm Diamond pink  Color:  Density: 32,,Foam,Raw Material,Product Utilities
