Particular,Product Code,Definition,Category (clean),Sub-Category (clean)
Silica 6 gms Desipak Craft Paper,UM-000825,Silica,Packaging,Product Utilities
Silica CLARIANT 250 GM WHITE STEEL HANGER,UNMPL/SKU/25-26/2139,Silica,Packaging,Product Utilities
Silica Container Dri II - Hanging Type,UM-000826,Silica,Packaging,Product Utilities
Silica Container super Dri -desiccant,UNMPL/SKU/25-26/2138,Silica,Packaging,Product Utilities
Silica Micro - Dry 6gm - Craft Paper,UNMPL/SKU/26-27/311,Silica,Consumables,Product Utilities
Silicon Gun tk-128,UNMPL/SKU/25-26/1042,Silicon Gun ,Asset,Factory Utilities
"Slats Pin (Aluminium 1"""")",UM-000391,Slat Pins,Hardware,Product Utilities
MIRCHI BADA,UNMPL/SKU/25-26/1903,Snacks,Welfare,Factory Utilities
NAMKEENS (SAMOSA),UNMPL/SKU/25-26/1416,Snacks,Welfare,Factory Utilities
PYAJ KCHORI,UNMPL/SKU/25-26/2021,Snacks,Welfare,Factory Utilities
POWER SOCKET 16 A PORCELINE,UNM/SKU/23-24/984,Socket ,Electrical,Factory Utilities
Socket 6A,UNM/SKU/24-25/1384,Socket ,Electrical,Factory Utilities
VETO SOCKET POWER 6A 2 IN 1,UNM/SKU/23-24/982,Socket ,Electrical,Factory Utilities
Q R C  SOCKET 8 X 12,UNMPL/SKU/25-26/1547,Socket ,Consumables,Factory Utilities
Q R C SOCKET 8 X 5,UNMPL/SKU/25-26/1548,Socket ,Consumables,Factory Utilities
ALISON SOFA,UNMPL/SKU/25-26/1666,Sofa,Finished Goods,Product Utilities
SOFT PIN REPAIR ( SANJAY TEKTEAM),UNMPL/SKU/25-26/2131,Soft Pin ,Consumables,Factory Utilities
DATA INTERGRATION AND CLOUD CONFIGURATION,UNMPL/SKU/25-26/488,Software,Service,IT Utilities
KAYA- 1,UNMPL/SKU/25-26/119,Soldering Gun ,Electrical,Factory Utilities
KAYA-2,UNMPL/SKU/25-26/58,Soldering Gun ,Electrical,Factory Utilities
SOLDERING GUN INGCO MACHINE ( KAYA ),UNM/SKU/24-25/450,Soldering Gun ,Tool,Factory Utilities
SPANNERS 6X7,UNM/SKU/24-25/1024,Spaner,Tool,Factory Utilities
SPANNER 10 X 11,UNMPL/SKU/25-26/701,Spanner,Tool,Factory Utilities
Spanner Fix SET 12 PC (6-32),UNMPL/SKU/25-26/2216,Spanner,Tool,Factory Utilities
Spanner Ring SET 12PC (6-32),UNMPL/SKU/25-26/2217,Spanner,Tool,Factory Utilities
FIX SPANNER 16/17,UNMPL/SKU/25-26/2013,Spanner,Tool,Factory Utilities
SPANNER 8/9,UNMPL/SKU/25-26/2014,Spanner,Tool,Factory Utilities
T SPANNER HANDLE 13 MM,UNMPL/SKU/25-26/2029,Spanner,Tool,Factory Utilities
SPANNER 16/17,UNMPL/SKU/25-26/1161,Spanner,Tool,Factory Utilities
SPANNER 10/11,,Spanner,Tool,Factory Utilities
SPANNER 12/13,UM-000958,Spanner,Tool,Factory Utilities
Spanner  Wrench 14/15,UNM/SKU/23-24/308,Spanner,Tool,Factory Utilities
SPANNER SET 12/100M,UNM/SKU/24-25/1408,Spanner,Tool,Factory Utilities
Double open end spanner20x22,UNMPL/SKU/25-26/1109,Spanner,Tool,Factory Utilities
SEWING MACHINE MOTOR,UNMPL/SKU/25-26/1412,Spares,Spares,Factory Utilities
SPEED CONTROL VALLE 1/4X8MM,UNMPL/SKU/25-26/1501,Speed Control ,Spares,Factory Utilities
SPEED CONTROLLER (PORT),UNMPL/SKU/25-26/2123,Speed Control ,Spares,Factory Utilities
BIRD SPIKS,UNM/SKU/24-25/1409,Spikes,Consumables,Factory Utilities
Spray Gun PILOT 500ML TYPE 59 PILOT 500ML TYPE 59,UNMPL/SKU/25-26/486,Spray Gun,Tool,Factory Utilities
Spray Gun SPRAY GUN PM-01(POLISH),UNMPL/SKU/25-26/1106,Spray Gun,Tool,Factory Utilities
Spray Gun 59,UNM/SKU/23-24/521,Spray Gun,Tool,Factory Utilities
Spray Gun HVLP SPRAY GUN 0.8MM,UNMPL/SKU/25-26/1857,Spray Gun,Tool,Factory Utilities
Spray Gun Akari 1.4mm 600ml HVLP Spray Gun (H-827P),UNM/SKU/24-25/585,Spray Gun ,Tool,Factory Utilities
Spray Gun PT-01,UNMPL/SKU/25-26/1897,Spray Gun ,Tool,Factory Utilities
SPRING (BALAJI ENTERPRISES),UNMPL/SKU/26-27/71,Spring ,Consumables,Product Utilities
Spring Tie Paper Wire MS Papper 8 MM (Mtr),,Spring Tie,Consumables,Product Utilities
Spring Tie Paper Wire MS Papper 8 MM (m),,Spring Tie,Consumables,Product Utilities
Spring Tie Paper Wire MS Papper 8 MM,,Spring Tie ,Consumables,Product Utilities
Dicco Black Matt,,Stain,Consumables,Product Utilities
BLACK BROWN WOOD Stain N/C,UNMPL/SKU/25-26/1488,Stain,Consumables,Product Utilities
Cream PE Wood Stain,UNMPL/SKU/25-26/2185,Stain,Consumables,Product Utilities
WOOD Stain WALNUT,UNM/SKU/23-24/967,Stain,Consumables,Product Utilities
Dicco Black 1229 N C DICCO SB,UNMPL/SKU/25-26/345,Stain,Consumables,Product Utilities
Dicco White N C 1238 SB,UNMPL/SKU/25-26/208,Stain,Consumables,Product Utilities
1013 TEAK HONEY S B,UNMPL/SKU/25-26/1555,Stain,Consumables,Product Utilities
1042 JET BLACK SB,UNMPL/SKU/25-26/528,Stain,Consumables,Product Utilities
Stain Dark honey W.B - VS CHEMICALS,,Stain,Consumables,Product Utilities
MARUDHAR MCR-298 WOOD STAIN,UNMPL/SKU/25-26/2097,stain,Consumables,Product Utilities
Dicco Blue,UNMPL/SKU/25-26/2079,Stain,Consumables,Product Utilities
Dicco UNIVERSAL HIGH POWER STAINER 100 ML,UNMPL/SKU/25-26/1817,Stain,Consumables,Factory Utilities
SPRAY BROWN (NAVKAR),UNMPL/SKU/25-26/1613,stain,Consumables,Product Utilities
Article NO 76039 DARK AGRA Stain CONCENTRATE,UNM/SKU/24-25/466,Stain,Consumables,Product Utilities
BLACK OIL,UNM/SKU/24-25/467,Stain,Consumables,Product Utilities
Pattina concentrate walnut Article no- 75104A,UNM/SKU/23-24/943,Stain,Consumables,Product Utilities
PCG  VINTAGE OIL ARTICLE NO. 77610.43 WAX OIL VINTAGE,UNM/SKU/24-25/1583,Stain,Consumables,Product Utilities
BLACK Stain JS 3907,UNMPL/SKU/25-26/2108,Stain,Consumables,Product Utilities
BLACK Stain S/B JS-08E25-01,UNMPL/SKU/25-26/656,Stain,Consumables,Product Utilities
BORWN GREY Stain TSM-17I25-01,UNMPL/SKU/25-26/1406,Stain,Consumables,Product Utilities
BROWN STIAN TSM 09H19-01,,Stain,Consumables,Product Utilities
Grey Stain SB TSM-19F-02,UNMPL/SKU/25-26/979,Stain,Consumables,Product Utilities
HONEY OAK Stain TSM-09C23-04,UNMPL/SKU/25-26/1293,Stain,Consumables,Product Utilities
JS 3937 wenge Stain - Technovace,UNM/SKU/24-25/236,Stain,Consumables,Product Utilities
SMOKED WALNUT Stain JS-16c21-02,UNMPL/SKU/25-26/440,Stain,Consumables,Product Utilities
UNI HONEY Stain JU-5235,UNMPL/SKU/25-26/514,Stain,Consumables,Product Utilities
Dicco Black AND LEQUEAR,UNM/SKU/24-25/762,Stain,Consumables,Product Utilities
Stain WHITE Stain XS 02,UNMPL/SKU/25-26/2354,Stain,Consumables,Product Utilities
NC STAIN- UNM (20LTR),UNMPL/SKU/25-26/1367,Stain,Consumables,Product Utilities
Stain NC Stain -UM03 CARBON,UNMPL/SKU/25-26/2330,Stain,Consumables,Product Utilities
SB GRAY STAIN TSM19F19-02,UNMPL/SKU/25-26/868,Stain,Consumables,Product Utilities
911.330 Lt Grey Brown,UNM/SKU/23-24/500,Stain,Consumables,Product Utilities
PCG-ST-009,UNM/SKU/24-25/403,Stain,Consumables,Product Utilities
Thinner Black stian PCG-R-345,UNM/SKU/23-24/686,Stain,Consumables,Product Utilities
Stain 50 ml cular mix,UNMPL/SKU/26-27/158,Stain,Consumables,Product Utilities
SILVER PATINA,UNM/SKU/24-25/177,Stain ,Consumables,Product Utilities
X39 P 005 KT WUDGLO WOOD STAIN,UNMPL/SKU/25-26/1826,Stain ,Consumables,Product Utilities
WOOD Stain ROSEWOOD,UNM/SKU/23-24/968,Stain ,Consumables,Product Utilities
WOOD Stain TEAK,UNM/SKU/23-24/966,Stain ,Consumables,Product Utilities
VS CHEMICALS   JET BLACK,,stain ,Consumables,Product Utilities
Walnut colour W/B  (v.s. chemical),,Stain ,Consumables,Product Utilities
COSMOS D RUST (400ML WD40),UNMPL/SKU/25-26/1612,Stain ,Consumables,Product Utilities
JS-22G25-01 VILLAGE BROWN Stain SB,UNMPL/SKU/25-26/1408,Stain ,Consumables,Product Utilities
Sealer RTU Ready to Use NB1048  TECKNOVACE,,Stain ,Consumables,Product Utilities
CONCE WENGUE JS3937,UNM/SKU/24-25/1393,Stain ,Consumables,Product Utilities
WALNUT Stain JS3947,UNMPL/SKU/25-26/1407,Stain ,Consumables,Product Utilities
H.1116.00.0000.00,UNMPL/SKU/25-26/384,Stain ,Consumables,Product Utilities
Stain BROWN XS 166,UNMPL/SKU/25-26/2355,Stain ,Consumables,Product Utilities
Stain YELLOW,UNMPL/SKU/25-26/2356,Stain ,Consumables,Product Utilities
WHITE WASH (CARBON AWD 111 ),UNMPL/SKU/25-26/1311,Stain ,Consumables,Product Utilities
PAINT & LABEL REMOVER (CLEAR),UNMPL/SKU/25-26/1243,Stain Remover ,Consumables,Product Utilities
SYCOAT PAINT REMOVER,UNMPL/SKU/25-26/913,Stain Remover ,Consumables,Product Utilities
CLNG-CHEM-200ML (LEATHER CLEANER),UNMPL/SKU/25-26/876,Stain Remover ,Consumables,Product Utilities
Staple 80/06mm,UM-000203,Staple,Hardware,Product Utilities
Staple 80/08mm,UM-000199,Staple,Hardware,Product Utilities
Staple 80/10mm,UM-000200,Staple,Hardware,Product Utilities
Staple 80/12mm,UM-000201,Staple,Hardware,Product Utilities
Staple 80/16mm,UM-000202,Staple,Hardware,Product Utilities
Staple 100/16 mm Stapler U Pin (pc),,Staple,Hardware,Product Utilities
Staple 80/09mm,UNM/SKU/23-24/354,Staple,Hardware,Product Utilities
Staple U PIN N21-50MM (pc),,Staple,Hardware,Product Utilities
Staple 23/8H PIN,UNM/SKU/24-25/1076,Staple,Hardware,Product Utilities
Staple PIN 14/35 NK - 38MM (BEA) (pc),,Staple,Hardware,Product Utilities
Staple 100/25mm Stapler Pin (pc),,Staple,Hardware,Product Utilities
Stapler Gun Machine Kaymo - ECO 80/16-LN,UNM/SKU/24-25/1833,Staple Gun ,Tool,Factory Utilities
STAPLE GUN MACHINE AKARI (AT-4151),UNM/SKU/24-25/242,Staple Gun ,Asset,Factory Utilities
Staple PIN 14/35 NK - 38MM (BEA) (pkt of 19500 pc),,Staple Pin ,Consumables,Product Utilities
Staple U PIN N21-50MM (pkt of 7000 pc),,Staple Pin ,Consumables,Product Utilities
"Screw Driver ( PIN OPNER ) 6""""",UNM/SKU/24-25/306,Staple remover,Tool,Factory Utilities
Stapler Pin Remover - ISR 134,UNMPL/SKU/25-26/665,Staple remover,Tool,Factory Utilities
Stapler Gun MILES NAILER 80-16 L GUN,UNMPL/SKU/25-26/719,Stapler Gun,Tool,Factory Utilities
Stapler Gun AIR NAILER T-50 (AKARI F50),UNMPL/SKU/25-26/2091,Stapler Gun,Tool,Factory Utilities
Stapler Gun PENU STAPLER AK 8016 B,UNMPL/SKU/25-26/2096,Stapler Gun,Tool,Factory Utilities
Staple 80/10 (Black),UM-000197,Staples,Consumables,Product Utilities
Stapler Gun Machine Miles MS 80-16N,UNMPL/SKU/25-26/662,Stapling Gun ,Tool,Factory Utilities
3.5 AMP RELAY DAUL STARTER,UNMPL/SKU/25-26/2237,Starter,Electrical,Factory Utilities
TC RELAY3.5 AMP DOUL WITH STARTER,UNMPL/SKU/25-26/2250,Starter,Electrical,Factory Utilities
J HOOK SMALL,UNMPL/SKU/25-26/334,Stationary,Hardware,Office Utilities
PEN,UNM/SKU/24-25/43,STATIONARY,Consumables,Product Utilities
A4 JK RIM 70 GSM,UNM/SKU/24-25/1523,STATIONARY,Consumables,Office Utilities
VOUCHER PAD,UNM/SKU/24-25/1296,STATIONARY,Consumables,Office Utilities
WHITE BOARD PARMANENT MARKER,UNM/SKU/23-24/1027,STATIONARY,Consumables,Office Supplies
HIGHLIGHTER,UNM/SKU/24-25/1677,Stationary,Stationery,Office Utilities
ATTENDENCE REGISTER 44 NAME,UNMPL/SKU/25-26/2038,STATIONARY,Consumables,Office Supplies
BINDER CLIPS,UNMPL/SKU/25-26/2316,STATIONARY,Consumables,Office Supplies
CD MARKER,UNM/SKU/23-24/848,STATIONARY,Consumables,Office Supplies
CHART PAPER,UNMPL/SKU/25-26/2409,STATIONARY,Consumables,Office Supplies
Fevicol tube,UNMPL/SKU/25-26/2361,STATIONARY,Consumables,Office Supplies
FOLDER BAG,UNM/SKU/24-25/1536,STATIONARY,Consumables,Office Supplies
GATE REGISTER 144 PAGE,UNMPL/SKU/25-26/2039,STATIONARY,Consumables,Office Supplies
Index box file loda 4'',UNM/SKU/24-25/1111,STATIONARY,Consumables,Office Supplies
NATRAJ PAPER CUTTER,UNM/SKU/23-24/852,STATIONARY,Consumables,Office Supplies
NATRAJ PENCIL,UNM/SKU/23-24/850,STATIONARY,Consumables,Office Supplies
Paper Cutter blade,UNM/SKU/23-24/935,STATIONARY,Consumables,Office Supplies
PEN -2,UNM/SKU/24-25/587,STATIONARY,Consumables,Office Supplies
REGISTER NEELKAMAL 288 PAGE,UNMPL/SKU/25-26/2242,STATIONARY,Consumables,Office Supplies
"SCALE STEEL 12""""",UNM/SKU/23-24/851,STATIONARY,Consumables,Office Supplies
SCALE STEEL 40 INCH,UNMPL/SKU/25-26/438,STATIONARY,Consumables,Office Supplies
SHEET PROTECTER BIGGER THAN A4,UNM/SKU/24-25/93,STATIONARY,Consumables,Office Supplies
SKETCH PEN,UNM/SKU/23-24/856,STATIONARY,Consumables,Office Supplies
SPIRAL DAIRY WITH 5 SUBJECT LUXER,UNM/SKU/24-25/1640,STATIONARY,Consumables,Office Supplies
SPRING FILE,UNM/SKU/23-24/1028,STATIONARY,Consumables,Office Supplies
STAPLE PIN KANGARO 24/6,UNMPL/SKU/25-26/1834,STATIONARY,Consumables,Office Supplies
STEPLER KANGARO HP 45,UNMPL/SKU/25-26/1831,STATIONARY,Consumables,Office Supplies
STICK NOTES RS PR 3,UNMPL/SKU/25-26/1290,STATIONARY,Consumables,Office Supplies
WHITE BOARD REFILLEBLE MARKER & EASY WIPE,UNM/SKU/24-25/456,STATIONARY,Consumables,Office Supplies
WHITE PENCIL,UNM/SKU/23-24/849,STATIONARY,Consumables,Office Supplies
FEVISTICK 25GM,UNM/SKU/24-25/1518,STATIONARY,Consumables,Office Supplies
SPIRAL DAIRY,UNMPL/SKU/25-26/2309,STATIONARY,Consumables,Office Supplies
SHARPENER,UNM/SKU/24-25/1294,STATIONARY,Consumables,Office Supplies
SHEET PROTECTOR FOLDER,UNM/SKU/23-24/1029,STATIONARY,Consumables,Office Supplies
VOUCHER FILE LODHA,UNMPL/SKU/25-26/689,STATIONARY,Consumables,Office Supplies
WHITENER,UNM/SKU/24-25/1639,STATIONARY,Consumables,Office Supplies
WHITENER CORRECTION TAPE,UNMPL/SKU/25-26/1690,STATIONARY,Consumables,Office Supplies
STEP DRILL L4-20MM,UNMPL/SKU/25-26/2028,Stationary ,Consumables,Product Utilities
RUBBER BEND,UNMPL/SKU/25-26/1604,Stationary ,Consumables,Office Supplies
AA RING FILE RB 402 SPRING FILE,UNMPL/SKU/25-26/92,Stationary ,Consumables,Product Utilities
STEPLER (KANGARO),UNM/SKU/24-25/44,Stationary ,Consumables,Product Utilities
Stapler Gun Miles - ECO 80/16-LN,UNMPL/SKU/25-26/663,Stepler Gun ,Tool,Factory Utilities
Stapler Gun Machine Kaymo,UNM/SKU/23-24/345,Stepler Gun ,Tool,Factory Utilities
"Operator Stool Model No.3 ( 12""""X15""""x20"""" ) duly powder coated in white clr",UNM/SKU/23-24/49,Stools,Asset,Factory Utilities
"Operator STools Model No.3 ( 12""""X15""""x20"""" ) duly powder coated in white clr",,Stools,Asset,Factory Utilities
Double shelf option 2,UNM/SKU/24-25/1962,storage shelf,Asset,Factory Utilities
Metal Structure IRON SHOWROOM SELF BIG/MEDIUM/SMALL,UNMPL/SKU/25-26/473,Storage Shelf,Asset,Factory Utilities
"Packing STRECH FILM ROLL 18""""",UNM/SKU/24-25/161,Strech Film ,Packaging,Product Utilities
"PVC Strech Film Roll 6""""",UNM/SKU/23-24/380,Strech Film ,Packaging,Product Utilities
PACKING PLASTIC STRIP CLIP 300X12MM,UNMPL/SKU/25-26/1229,Strip Clip ,Packaging,Product Utilities
SUNBOARD FOR AUDIT,UNMPL/SKU/25-26/2015,Sunboard ,Consumables,Product Utilities
SPRAY PANEL,UNMPL/SKU/25-26/2194,Swatch ,Sample,Factory Utilities
SPRAY PANEL(BOTAL) PVC,UNM/SKU/24-25/174,Swatch ,Sample,Product Utilities
GULAB JAMUN,UNMPL/SKU/25-26/1417,sweet,Welfare,Factory Utilities
RABRI LADDU (KG),UNMPL/SKU/25-26/1902,Sweet,Welfare,Factory Utilities
SWEET BOX (BROWN),UNMPL/SKU/25-26/1413,Sweet ,Welfare,Factory Utilities
SWEET BOX (LIGHT CREAM GREEN),UNMPL/SKU/25-26/1414,Sweet ,Welfare,Factory Utilities
SWEET BOX (PINK),UNMPL/SKU/25-26/1415,Sweet ,Welfare,Factory Utilities
WAFFRES,UNMPL/SKU/25-26/1904,Sweet ,Welfare,Factory Utilities
SWITCH 6A,UNM/SKU/23-24/981,Switch,Electrical,Factory Utilities
NO/NC ELEMENT,UNMPL/SKU/25-26/538,SWITCH,Electrical,Factory Utilities
38194 SWITCH 6A ANCHOR,UNMPL/SKU/25-26/1227,Switch,Electrical,Factory Utilities
6A SWITCH SCREW WALA,UNMPL/SKU/25-26/2252,Switch,Electrical,Factory Utilities
SWITCH HQ,UNM/SKU/24-25/1369,Switch,Electrical,Factory Utilities
TENDA 5 PORT SWITCH,UNMPL/SKU/25-26/924,Switch ,Electrical,Factory Utilities
VETO VX FLAT SWITCH 16A 1M 1w,UNM/SKU/24-25/435,Switch ,Electrical,Factory Utilities
VETO VX FLAT SWITCH 6A 1M,UNM/SKU/23-24/983,Switch ,Electrical,Factory Utilities
BED SWITCH,UNMPL/SKU/25-26/1735,Switch ,Electrical,Factory Utilities
Swivel metal base CHAIR BASE 5 LEG NEW MODEL,UNMPL/SKU/26-27/316,Swivel Base,Component,Product Utilities
Swivel metal base CHAIR BASE 5 LEG OLD MODEL,UNMPL/SKU/26-27/317,Swivel Base,Component,Product Utilities
ROTATING PLATE,UNMPL/SKU/25-26/1389,Swivel Plate ,Component,Product Utilities
TURNPLATE ROTATE 360'' ROTATING PLATE 10 X 10,UNMPL/SKU/25-26/418,Swivel Plate ,Component,Product Utilities
"12"""" x 12"""" plate pc (1339)",UNMPL/SKU/25-26/1205,Swivel Plate ,Component,Product Utilities
SEAT PLATE SMART,UNMPL/SKU/25-26/1373,Swivel Plate ,Component,Product Utilities
MARBLE END TABLE @ 18% TOREBTI CUBE 18X18X18,UNMPL/SKU/25-26/2315,Table,Finished Goods,Product Utilities
MARBLE ROUND SIDE TABLE- BANSWARA WHITE,UNMPL/SKU/25-26/1398,Table,Finished Goods,Product Utilities
MARBLE ROUND SIDE TABLE- BANSWARA WHITE MARBLE TAP,UNMPL/SKU/25-26/1397,Table,Finished Goods,Product Utilities
ROUND TABLE FOR PAINT BOOTH,UNMPL/SKU/25-26/1890,Table,Asset,Factory Utilities
S/3 MOP Table with turned legs (white top),UNM/SKU/24-25/1726,Table,Finished Goods,Product Utilities
S/2 MOP Table with carved legs (grey top),UNM/SKU/24-25/1728,Table,Finished Goods,Product Utilities
"WOODEN TOP 36*30*1""""",UNM/SKU/24-25/225,Table,Finished Goods,Product Utilities
KATTA PATTI CLIP CHAIN,UNM/SKU/24-25/1658,Tack Strip,Consumables,Product Utilities
Katta patti big,UM-000962,Tack Strip,Consumables,Product Utilities
School Chalk,UNM/SKU/23-24/531,Tailor Chalk,Consumables,Factory Utilities
TAILOR CHOK,UNMPL/SKU/25-26/437,Tailor Chalk ,Consumables,Factory Utilities
PVC TUTI-B,UNMPL/SKU/25-26/2018,Tap,Plumbing,Factory Utilities
PVC TUTI -A,UNMPL/SKU/25-26/2017,Tap ,Plumbing,Factory Utilities
Tap Set 10MM,UNMPL/SKU/26-27/22,Tap Set ,Tool,Factory Utilities
WATER PROOF Tape 4 INCH,UNMPL/SKU/25-26/716,Tape,Electrical,Factory Utilities
BIOCON TAPE 15 MTR,UNMPL/SKU/25-26/2232,Tape,Electrical,Factory Utilities
COPPER TERMINAL 35MM T/T H/D,UNMPL/SKU/25-26/1540,Terminal,Electrical,Factory Utilities
COPPER TERMINAL 50MM T/T,UNMPL/SKU/25-26/1539,Terminal,Electrical,Factory Utilities
COPPER TERMINAL 95MM T/T,UNMPL/SKU/25-26/1881,Terminal ,Electrical,Factory Utilities
P type terminal 2.5mmin,UNMPL/SKU/25-26/2000,Terminal ,Electrical,Factory Utilities
Ring type terminal copper 2.5mm,UNMPL/SKU/25-26/1999,Terminal ,Electrical,Factory Utilities
ELECTRIC TESTER,UNM/SKU/23-24/988,Tester ,Tool,Factory Utilities
"Packing LAILA MIRROR - Thermocol 50.25""""X34.5""""X2.75""""+1.5"""" WITH-39""""X23""""X12.5MM AA112",UNMPL/SKU/25-26/775,Thermocol Block ,Packaging,Product Utilities
"Packing NYRA MIRROR - Thermocol 32.25""""X51""""X3""""+1.5"""" WITH 22.5""""X41""""X12.5MM AA107",UNMPL/SKU/25-26/774,Thermocol Block ,Packaging,Product Utilities
"Packing Packing LAILA 2 DRAWER - Thermocol 28""""*22""""*5""""+5"""" AA117 AA109",UNMPL/SKU/25-26/805,Thermocol Block ,Packaging,Product Utilities
"Packing Packing LAILA 6 DRAWER - Thermocol 67""""*23""""*5""""+5"""" AA117 AA117",UNMPL/SKU/25-26/803,Thermocol Block ,Packaging,Product Utilities
"Thermocol D-10 -block - 22.5""""x16""""x6"""" (Nyra 2 Drawer)",UNMPL/SKU/25-26/1082,Thermocol Block ,Packaging,Product Utilities
"Thermocol -D10 -BLOCK- 60""""X16""""X6"""" (Dyra 6 Drawer)",UNMPL/SKU/25-26/1083,Thermocol Block ,Packaging,Product Utilities
"Thermocol -D10- BLOCK -70.75""""X5""""X10""""(postking bed)",UNMPL/SKU/25-26/1063,Thermocol Block ,Packaging,Product Utilities
"Thermocol -D-10-block - 67""""X6""""X8"""" (Nyra Bed)",UNMPL/SKU/25-26/1084,Thermocol Block ,Packaging,Product Utilities
"Thermocol -D10 -BLOCK- 70""""X5""""X12"""" (Stonehenge King Bed)",UNMPL/SKU/25-26/1053,Thermocol Block ,Packaging,Product Utilities
Thinner SYNTHETI THINNER 800ML,UNMPL/SKU/25-26/1307,Thinner,Consumables,Product Utilities
Thinner Solvent SYN.,UNM/SKU/23-24/287,Thinner,Consumables,Product Utilities
Thinner NC,UM-000918,Thinner,Consumables,Product Utilities
THINNER NC FOR POLISH,,Thinner,Consumables,Product Utilities
NC 2 020 LT NC THINNER (POLISH),,Thinner,Consumables,Product Utilities
0007 SYNTHETIC THINNER ( TARPIN),UNMPL/SKU/25-26/466,Thinner,Consumables,Product Utilities
0012 IND RETARDER,UNMPL/SKU/25-26/1442,Thinner,Consumables,Product Utilities
NC RITADEAR,UNMPL/SKU/25-26/714,Thinner,Consumables,Product Utilities
Thinner TH 4005- PU THINNER,UNMPL/SKU/25-26/1579,Thinner,Consumables,Product Utilities
Thinner Acrylic/ PU thinner TTI232,UNMPL/SKU/25-26/2211,Thinner,Consumables,Product Utilities
Thinner NC 2 020 LT NC THINNER (POLISH),UNM/SKU/24-25/1837,Thinner,Consumables,Product Utilities
Thinner N.C THINNER FOR CLEANING,UNM/SKU/24-25/1428,Thinner,Consumables,Product Utilities
Thinner KUPSA - PU THINNER DU5004L,UNM/SKU/24-25/495,Thinner,Consumables,Product Utilities
Thread TAGING THREAD,UNMPL/SKU/25-26/456,Thread,Consumables,Product Utilities
Thread 2 no thread,UNM/SKU/23-24/1006,Thread,Consumables,Product Utilities
Thread 30 NO THREAD,UNMPL/SKU/25-26/1554,Thread,Consumables,Product Utilities
Thread 000 TERA 10,UNMPL/SKU/25-26/1134,Thread,Consumables,Product Utilities
Thread 1 TERA 10,UNMPL/SKU/25-26/1170,Thread,Consumables,Product Utilities
Thread 124 MARA 30 300 METER,UNM/SKU/24-25/173,Thread,Consumables,Product Utilities
Thread 230 TERA 10,UNMPL/SKU/25-26/1172,Thread,Consumables,Product Utilities
Thread 232 TERA 10,UNMPL/SKU/25-26/1132,Thread,Consumables,Product Utilities
Thread 396 TERA 10,UNMPL/SKU/25-26/1111,Thread,Consumables,Product Utilities
Thread 3973 TERA 20 (600M),UNMPL/SKU/25-26/2326,Thread,Consumables,Product Utilities
Thread 3973 TERA 30 (900 MTR),UNMPL/SKU/25-26/2325,Thread,Consumables,Product Utilities
Thread 448 TERA 10,UNMPL/SKU/25-26/1173,Thread,Consumables,Product Utilities
Thread 701 TERA 10,UNMPL/SKU/25-26/1133,Thread,Consumables,Product Utilities
Thread 702277-111 Mara 50 500m,UM-000110,Thread,Consumables,Product Utilities
Thread 702277-186 Mara 50 500m (roll),,Thread,Consumables,Product Utilities
Thread 702277-3796 Mara 50 500m Roll (roll),,Thread,Consumables,Product Utilities
Thread 702404-131 Mara 30 300m (Roll),,Thread,Consumables,Product Utilities
Thread 702404-143 Mara 30 300m,UM-000111,Thread,Consumables,Product Utilities
Thread 702404-186 Mara 30 300m (roll),,Thread,Consumables,Product Utilities
Thread 702404-245 Mara 30 300m (Roll),,Thread,Consumables,Product Utilities
Thread 702404-3796 Mara 30 300m (Roll),,Thread,Consumables,Product Utilities
Thread 702404-40 Mara 30 300m (Roll),,Thread,Consumables,Product Utilities
Thread 704601-124 Tera 30 (900 METER) (roll),,Thread,Consumables,Product Utilities
Thread 704687-124 Tera 20 (600 METER) (roll),,Thread,Consumables,Product Utilities
Thread 715557-111 A 100 5000m (Roll),,Thread,Consumables,Product Utilities
Thread 722 TERA 20,UNM/SKU/24-25/162,Thread,Consumables,Product Utilities
Thread 722 TERA 30,UNM/SKU/24-25/163,Thread,Consumables,Product Utilities
Thread Col 414 Tera 20,UNM/SKU/24-25/219,Thread,Consumables,Product Utilities
Thread Tera 20 600m col. 5662,UM-000122,Thread,Consumables,Product Utilities
Thread tera 30 900m col. 5662,UNM/SKU/24-25/326,Thread,Consumables,Product Utilities
Thread 702277-111 Mara 50 500m (Roll),,Thread,Consumables,Product Utilities
Thread THREAD 156 TERA 10,,Thread,Consumables,Product Utilities
Thread 702277-257 Mara 50 500m (Roll),,Thread,Consumables,Product Utilities
Thread 702404-697 Mara 30 300m (Roll),,Thread,Consumables,Product Utilities
Thread 702277-417 Mara 50 500m (Roll),,Thread,Consumables,Product Utilities
Thread 702277-432 Mara 50 500m (Roll),,Thread,Consumables,Product Utilities
Thread 702404-432 Mara 30 300m (roll),,Thread,Consumables,Product Utilities
Thread 702404-259 Mara 30 300m (Roll),,Thread,Consumables,Product Utilities
Thread 702277-131 Mara 50 500m (Roll),,Thread,Consumables,Product Utilities
Thread 702404-8772 Mara 30 300m (Roll),,Thread,Consumables,Product Utilities
Thread 702277-8772 Mara 50 500m (Roll),,Thread,Consumables,Product Utilities
Thread 702404-111 Mara 30 300m,UM-000109,Thread,Consumables,Product Utilities
Thread 702277-143 Mara 50 500m (Roll),,Thread,Consumables,Product Utilities
